kwota,kategoria,typ,opis,data
2500.0,wynagrodzenie,przychód,,2024-03-31
100.0,rachunki,wydatek,Internet,2024-04-01
85.0,zdrowie,wydatek,Leki,2024-04-02
2800.0,wynagrodzenie,przychód,,2024-04-03
170.0,jedzenie,wydatek,Fast food,2024-04-04
110.0,transport,wydatek,Bilet autobusowy,2024-04-05
500.0,sprzedaż,przychód,Freelance,2024-04-06
140.0,rozrywka,wydatek,Spotify,2024-04-07
2300.0,wynagrodzenie,przychód,,2024-04-08
120.0,rachunki,wydatek,Woda,2024-04-09
95.0,edukacja,wydatek,Kurs programowania,2024-04-10
2900.0,wynagrodzenie,przychód,,2024-04-11
160.0,jedzenie,wydatek,Market,2024-04-12
120.0,transport,wydatek,Autobus,2024-04-13
600.0,premie,przychód,,2024-04-14
190.0,rozrywka,wydatek,Escape room,2024-04-15
2600.0,wynagrodzenie,przychód,,2024-04-16
130.0,rachunki,wydatek,Telefon,2024-04-17
100.0,zdrowie,wydatek,Siłownia,2024-04-18
3200.0,wynagrodzenie,przychód,,2024-04-19
180.0,jedzenie,wydatek,Restauracja,2024-04-20
130.0,transport,wydatek,Taxi,2024-04-21
400.0,sprzedaż,przychód,Usługi IT,2024-04-22
150.0,rozrywka,wydatek,Teatr,2024-04-23
2500.0,wynagrodzenie,przychód,,2024-04-24
110.0,rachunki,wydatek,Prąd,2024-04-25
105.0,edukacja,wydatek,Kurs online,2024-04-26
3000.0,wynagrodzenie,przychód,,2024-04-27
190.0,jedzenie,wydatek,Kawiarnia,2024-04-28
140.0,transport,wydatek,Tramwaj,2024-04-29
550.0,premie,przychód,,2024-04-30
200.0,rozrywka,wydatek,Kino,2024-05-01
2700.0,wynagrodzenie,przychód,,2024-05-02
125.0,rachunki,wydatek,Internet,2024-05-03
110.0,zdrowie,wydatek,Leki,2024-05-04
3300.0,wynagrodzenie,przychód,,2024-05-05
200.0,jedzenie,wydatek,Fast food,2024-05-06
150.0,transport,wydatek,Bilet autobusowy,2024-05-07
600.0,sprzedaż,przychód,Freelance,2024-05-08
160.0,rozrywka,wydatek,Spotify,2024-05-09
2400.0,wynagrodzenie,przychód,,2024-05-10
140.0,rachunki,wydatek,Woda,2024-05-11
120.0,edukacja,wydatek,Kurs programowania,2024-05-12
3100.0,wynagrodzenie,przychód,,2024-05-13
210.0,jedzenie,wydatek,Market,2024-05-14
160.0,transport,wydatek,Autobus,2024-05-15
650.0,premie,przychód,,2024-05-16
210.0,rozrywka,wydatek,Escape room,2024-05-17
2800.0,wynagrodzenie,przychód,,2024-05-18
155.0,rachunki,wydatek,Telefon,2024-05-19
130.0,zdrowie,wydatek,Siłownia,2024-05-20
3400.0,wynagrodzenie,przychód,,2024-05-21
220.0,jedzenie,wydatek,Restauracja,2024-05-22
170.0,transport,wydatek,Taxi,2024-05-23
450.0,sprzedaż,przychód,Usługi IT,2024-05-24
160.0,rozrywka,wydatek,Teatr,2024-05-25
2600.0,wynagrodzenie,przychód,,2024-05-26
130.0,rachunki,wydatek,Prąd,2024-05-27
125.0,edukacja,wydatek,Kurs online,2024-05-28
3200.0,wynagrodzenie,przychód,,2024-05-29
210.0,jedzenie,wydatek,Kawiarnia,2024-05-30
180.0,transport,wydatek,Tramwaj,2024-05-31
600.0,premie,przychód,,2024-06-01
220.0,rozrywka,wydatek,Kino,2024-06-02
2900.0,wynagrodzenie,przychód,,2024-06-03
140.0,rachunki,wydatek,Internet,2024-06-04
150.0,zdrowie,wydatek,Leki,2024-06-05
3500.0,wynagrodzenie,przychód,,2024-06-06
230.0,jedzenie,wydatek,Fast food,2024-06-07
190.0,transport,wydatek,Bilet autobusowy,2024-06-08
700.0,sprzedaż,przychód,Freelance,2024-06-09
180.0,rozrywka,wydatek,Spotify,2024-06-10
2500.0,wynagrodzenie,przychód,,2024-06-11
160.0,rachunki,wydatek,Woda,2024-06-12
140.0,edukacja,wydatek,Kurs programowania,2024-06-13
3300.0,wynagrodzenie,przychód,,2024-06-14
220.0,jedzenie,wydatek,Market,2024-06-15
200.0,transport,wydatek,Autobus,2024-06-16
750.0,premie,przychód,,2024-06-17
230.0,rozrywka,wydatek,Escape room,2024-06-18
2800.0,wynagrodzenie,przychód,,2024-06-19
165.0,rachunki,wydatek,Telefon,2024-06-20
160.0,zdrowie,wydatek,Siłownia,2024-06-21
3600.0,wynagrodzenie,przychód,,2024-06-22
240.0,jedzenie,wydatek,Restauracja,2024-06-23
210.0,transport,wydatek,Taxi,2024-06-24
500.0,sprzedaż,przychód,Usługi IT,2024-06-25
190.0,rozrywka,wydatek,Teatr,2024-06-26
2700.0,wynagrodzenie,przychód,,2024-06-27
170.0,rachunki,wydatek,Prąd,2024-06-28
155.0,edukacja,wydatek,Kurs online,2024-06-29
3400.0,wynagrodzenie,przychód,,2024-06-30
230.0,jedzenie,wydatek,Kawiarnia,2024-07-01
220.0,transport,wydatek,Tramwaj,2024-07-02
650.0,premie,przychód,,2024-07-03
240.0,rozrywka,wydatek,Kino,2024-07-04
3000.0,wynagrodzenie,przychód,,2024-07-05
180.0,rachunki,wydatek,Internet,2024-07-06
170.0,zdrowie,wydatek,Leki,2024-07-07
3700.0,wynagrodzenie,przychód,,2024-07-08
250.0,jedzenie,wydatek,Fast food,2024-07-09
230.0,transport,wydatek,Bilet autobusowy,2024-07-10
750.0,sprzedaż,przychód,Freelance,2024-07-11
200.0,rozrywka,wydatek,Spotify,2024-07-12
2600.0,wynagrodzenie,przychód,,2024-07-13
180.0,rachunki,wydatek,Woda,2024-07-14
160.0,edukacja,wydatek,Kurs programowania,2024-07-15
3500.0,wynagrodzenie,przychód,,2024-07-16
240.0,jedzenie,wydatek,Market,2024-07-17
240.0,transport,wydatek,Autobus,2024-07-18
800.0,premie,przychód,,2024-07-19
250.0,rozrywka,wydatek,Escape room,2024-07-20
2900.0,wynagrodzenie,przychód,,2024-07-21
190.0,rachunki,wydatek,Telefon,2024-07-22
170.0,zdrowie,wydatek,Siłownia,2024-07-23
3800.0,wynagrodzenie,przychód,,2024-07-24
260.0,jedzenie,wydatek,Restauracja,2024-07-25
250.0,transport,wydatek,Taxi,2024-07-26
550.0,sprzedaż,przychód,Usługi IT,2024-07-27
210.0,rozrywka,wydatek,Teatr,2024-07-28
2800.0,wynagrodzenie,przychód,,2024-07-29
200.0,rachunki,wydatek,Prąd,2024-07-30
165.0,edukacja,wydatek,Kurs online,2024-07-31
3600.0,wynagrodzenie,przychód,,2024-08-01
260.0,jedzenie,wydatek,Kawiarnia,2024-08-02
270.0,transport,wydatek,Tramwaj,2024-08-03
700.0,premie,przychód,,2024-08-04
220.0,rozrywka,wydatek,Kino,2024-08-05
3100.0,wynagrodzenie,przychód,,2024-08-06
210.0,rachunki,wydatek,Internet,2024-08-07
180.0,zdrowie,wydatek,Leki,2024-08-08
3900.0,wynagrodzenie,przychód,,2024-08-09
270.0,jedzenie,wydatek,Fast food,2024-08-10
250.0,transport,wydatek,Bilet autobusowy,2024-08-11
800.0,sprzedaż,przychód,Freelance,2024-08-12
230.0,rozrywka,wydatek,Spotify,2024-08-13
2700.0,wynagrodzenie,przychód,,2024-08-14
200.0,rachunki,wydatek,Woda,2024-08-15
180.0,edukacja,wydatek,Kurs programowania,2024-08-16
3700.0,wynagrodzenie,przychód,,2024-08-17
250.0,jedzenie,wydatek,Market,2024-08-18
260.0,transport,wydatek,Autobus,2024-08-19
850.0,premie,przychód,,2024-08-20
240.0,rozrywka,wydatek,Escape room,2024-08-21
3000.0,wynagrodzenie,przychód,,2024-08-22
210.0,rachunki,wydatek,Telefon,2024-08-23
190.0,zdrowie,wydatek,Siłownia,2024-08-24
4000.0,wynagrodzenie,przychód,,2024-08-25
280.0,jedzenie,wydatek,Restauracja,2024-08-26
280.0,transport,wydatek,Taxi,2024-08-27
600.0,sprzedaż,przychód,Usługi IT,2024-08-28
230.0,rozrywka,wydatek,Teatr,2024-08-29
2900.0,wynagrodzenie,przychód,,2024-08-30
220.0,rachunki,wydatek,Prąd,2024-08-31
185.0,edukacja,wydatek,Kurs online,2024-09-01
4200.0,wynagrodzenie,przychód,,2024-09-02
300.0,jedzenie,wydatek,Kawiarnia,2024-09-03
300.0,transport,wydatek,Tramwaj,2024-09-04
750.0,premie,przychód,,2024-09-05
250.0,rozrywka,wydatek,Kino,2024-09-06
3200.0,wynagrodzenie,przychód,,2024-09-07
230.0,rachunki,wydatek,Internet,2024-09-08
200.0,zdrowie,wydatek,Leki,2024-09-09
4300.0,wynagrodzenie,przychód,,2024-09-10
290.0,jedzenie,wydatek,Fast food,2024-09-11
310.0,transport,wydatek,Bilet autobusowy,2024-09-12
850.0,sprzedaż,przychód,Freelance,2024-09-13
240.0,rozrywka,wydatek,Spotify,2024-09-14
2800.0,wynagrodzenie,przychód,,2024-09-15
220.0,rachunki,wydatek,Woda,2024-09-16
200.0,edukacja,wydatek,Kurs programowania,2024-09-17
3900.0,wynagrodzenie,przychód,,2024-09-18
300.0,jedzenie,wydatek,Market,2024-09-19
320.0,transport,wydatek,Autobus,2024-09-20
900.0,premie,przychód,,2024-09-21
260.0,rozrywka,wydatek,Escape room,2024-09-22
3100.0,wynagrodzenie,przychód,,2024-09-23
240.0,rachunki,wydatek,Telefon,2024-09-24
210.0,zdrowie,wydatek,Siłownia,2024-09-25
4400.0,wynagrodzenie,przychód,,2024-09-26
320.0,jedzenie,wydatek,Restauracja,2024-09-27
330.0,transport,wydatek,Taxi,2024-09-28
650.0,sprzedaż,przychód,Usługi IT,2024-09-29
250.0,rozrywka,wydatek,Teatr,2024-09-30
3000.0,wynagrodzenie,przychód,,2024-10-01
250.0,rachunki,wydatek,Prąd,2024-10-02
220.0,edukacja,wydatek,Kurs online,2024-10-03
4500.0,wynagrodzenie,przychód,,2024-10-04
330.0,jedzenie,wydatek,Kawiarnia,2024-10-05
350.0,transport,wydatek,Tramwaj,2024-10-06
800.0,premie,przychód,,2024-10-07
270.0,rozrywka,wydatek,Kino,2024-10-08
3300.0,wynagrodzenie,przychód,,2024-10-09
250.0,rachunki,wydatek,Internet,2024-10-10
230.0,zdrowie,wydatek,Leki,2024-10-11
4600.0,wynagrodzenie,przychód,,2024-10-12
350.0,jedzenie,wydatek,Fast food,2024-10-13
370.0,transport,wydatek,Bilet autobusowy,2024-10-14
900.0,sprzedaż,przychód,Freelance,2024-10-15
260.0,rozrywka,wydatek,Spotify,2024-10-16
2900.0,wynagrodzenie,przychód,,2024-10-17
240.0,rachunki,wydatek,Woda,2024-10-18
240.0,edukacja,wydatek,Kurs programowania,2024-10-19
4000.0,wynagrodzenie,przychód,,2024-10-20
360.0,jedzenie,wydatek,Market,2024-10-21
380.0,transport,wydatek,Autobus,2024-10-22
950.0,premie,przychód,,2024-10-23
280.0,rozrywka,wydatek,Escape room,2024-10-24
3200.0,wynagrodzenie,przychód,,2024-10-25
260.0,rachunki,wydatek,Telefon,2024-10-26
250.0,zdrowie,wydatek,Siłownia,2024-10-27
4700.0,wynagrodzenie,przychód,,2024-10-28
380.0,jedzenie,wydatek,Restauracja,2024-10-29
400.0,transport,wydatek,Taxi,2024-10-30
700.0,sprzedaż,przychód,Usługi IT,2024-10-31
270.0,rozrywka,wydatek,Teatr,2024-11-01
3100.0,wynagrodzenie,przychód,,2024-11-02
270.0,rachunki,wydatek,Prąd,2024-11-03
260.0,edukacja,wydatek,Kurs online,2024-11-04
4800.0,wynagrodzenie,przychód,,2024-11-05
390.0,jedzenie,wydatek,Kawiarnia,2024-11-06
420.0,transport,wydatek,Tramwaj,2024-11-07
800.0,premie,przychód,,2024-11-08
290.0,rozrywka,wydatek,Kino,2024-11-09
3300.0,wynagrodzenie,przychód,,2024-11-10
270.0,rachunki,wydatek,Internet,2024-11-11
260.0,zdrowie,wydatek,Leki,2024-11-12
4900.0,wynagrodzenie,przychód,,2024-11-13
400.0,jedzenie,wydatek,Fast food,2024-11-14
430.0,transport,wydatek,Bilet autobusowy,2024-11-15
1000.0,sprzedaż,przychód,Freelance,2024-11-16
300.0,rozrywka,wydatek,Spotify,2024-11-17
3000.0,wynagrodzenie,przychód,,2024-11-18
250.0,rachunki,wydatek,Woda,2024-11-19
270.0,edukacja,wydatek,Kurs programowania,2024-11-20
4100.0,wynagrodzenie,przychód,,2024-11-21
420.0,jedzenie,wydatek,Market,2024-11-22
450.0,transport,wydatek,Autobus,2024-11-23
1000.0,premie,przychód,,2024-11-24
300.0,rozrywka,wydatek,Escape room,2024-11-25
3400.0,wynagrodzenie,przychód,,2024-11-26
280.0,rachunki,wydatek,Telefon,2024-11-27
280.0,zdrowie,wydatek,Siłownia,2024-11-28
5000.0,wynagrodzenie,przychód,,2024-11-29
450.0,jedzenie,wydatek,Restauracja,2024-11-30
500.0,transport,wydatek,Taxi,2024-12-01
800.0,sprzedaż,przychód,Usługi IT,2024-12-02
310.0,rozrywka,wydatek,Teatr,2024-12-03
3500.0,wynagrodzenie,przychód,,2024-12-04
290.0,rachunki,wydatek,Prąd,2024-12-05
300.0,edukacja,wydatek,Kurs online,2024-12-06
5200.0,wynagrodzenie,przychód,,2024-12-07
480.0,jedzenie,wydatek,Kawiarnia,2024-12-08
500.0,transport,wydatek,Tramwaj,2024-12-09
850.0,premie,przychód,,2024-12-10
320.0,rozrywka,wydatek,Kino,2024-12-11
3600.0,wynagrodzenie,przychód,,2024-12-12
300.0,rachunki,wydatek,Internet,2024-12-13
310.0,zdrowie,wydatek,Leki,2024-12-14
5300.0,wynagrodzenie,przychód,,2024-12-15
500.0,jedzenie,wydatek,Fast food,2024-12-16
520.0,transport,wydatek,Bilet autobusowy,2024-12-17
1100.0,sprzedaż,przychód,Freelance,2024-12-18
330.0,rozrywka,wydatek,Spotify,2024-12-19
3100.0,wynagrodzenie,przychód,,2024-12-20
300.0,rachunki,wydatek,Woda,2024-12-21
290.0,edukacja,wydatek,Kurs programowania,2024-12-22
4200.0,wynagrodzenie,przychód,,2024-12-23
510.0,jedzenie,wydatek,Market,2024-12-24
550.0,transport,wydatek,Autobus,2024-12-25
900.0,premie,przychód,,2024-12-26
340.0,rozrywka,wydatek,Escape room,2024-12-27
3300.0,wynagrodzenie,przychód,,2024-12-28
310.0,rachunki,wydatek,Telefon,2024-12-29
300.0,zdrowie,wydatek,Siłownia,2024-12-30
5400.0,wynagrodzenie,przychód,,2024-12-31
520.0,jedzenie,wydatek,Restauracja,2025-01-01
580.0,transport,wydatek,Taxi,2025-01-02
1000.0,sprzedaż,przychód,Usługi IT,2025-01-03
350.0,rozrywka,wydatek,Teatr,2025-01-04
2500.0,wynagrodzenie,przychód,,2024-01-05
150.5,jedzenie,wydatek,Supermarket,2024-01-06
75.0,transport,wydatek,Metro,2024-01-07
300.0,rozrywka,wydatek,Kinobilety,2024-01-08
500.0,mieszkanie,wydatek,Czynsz,2024-01-09
200.0,zdrowie,wydatek,Lekarz,2024-01-10
350.0,sprzedaż,przychód,Internet,2024-01-11
100.0,rachunki,wydatek,Prąd,2024-01-12
60.0,edukacja,wydatek,Kurs online,2024-01-13
400.0,premie,przychód,,2024-01-14
80.0,transport,wydatek,Autobus,2024-01-15
120.0,jedzenie,wydatek,Restauracja,2024-01-16
500.0,podróże,wydatek,Bilety lotnicze,2024-01-17
2200.0,wynagrodzenie,przychód,,2024-01-18
90.0,rozrywka,wydatek,Teatr,2024-01-19
130.0,rachunki,wydatek,Woda,2024-01-20
310.0,sprzedaż,przychód,Sklep internetowy,2024-01-21
50.0,inne wydatki,wydatek,Drobne zakupy,2024-01-22
2700.0,wynagrodzenie,przychód,,2024-01-23
140.0,jedzenie,wydatek,Fast food,2024-01-24
85.0,transport,wydatek,Taksówka,2024-01-25
95.0,edukacja,wydatek,Książki,2024-01-26
600.0,wynagrodzenie,przychód,,2024-01-27
110.0,rachunki,wydatek,Internet,2024-01-28
75.0,zdrowie,wydatek,Apteka,2024-01-29
2300.0,wynagrodzenie,przychód,,2024-01-30
65.0,jedzenie,wydatek,Kawiarnia,2024-01-31
105.0,transport,wydatek,Rower,2024-02-01
400.0,sprzedaż,przychód,Usługi,2024-02-02
130.0,rozrywka,wydatek,Koncert,2024-02-03
2100.0,wynagrodzenie,przychód,,2024-02-04
85.0,rachunki,wydatek,Telefon,2024-02-05
60.0,edukacja,wydatek,Seminarium,2024-02-06
2500.0,wynagrodzenie,przychód,,2024-02-07
100.0,jedzenie,wydatek,Market,2024-02-08
70.0,transport,wydatek,Parking,2024-02-09
500.0,premie,przychód,,2024-02-10
150.0,rozrywka,wydatek,Gry,2024-02-11
2400.0,wynagrodzenie,przychód,,2024-02-12
95.0,rachunki,wydatek,Gaz,2024-02-13
80.0,zdrowie,wydatek,Fitness,2024-02-14
2600.0,wynagrodzenie,przychód,,2024-02-15
120.0,jedzenie,wydatek,Restauracja,2024-02-16
90.0,transport,wydatek,Tramwaj,2024-02-17
350.0,sprzedaż,przychód,Handel,2024-02-18
110.0,rozrywka,wydatek,Kino,2024-02-19
2200.0,wynagrodzenie,przychód,,2024-02-20
85.0,rachunki,wydatek,Prąd,2024-02-21
70.0,edukacja,wydatek,Kurs językowy,2024-02-22
2800.0,wynagrodzenie,przychód,,2024-02-23
130.0,jedzenie,wydatek,Sklep spożywczy,2024-02-24
100.0,transport,wydatek,Taxi,2024-02-25
400.0,premie,przychód,,2024-02-26
160.0,rozrywka,wydatek,Escape room,2024-02-27
2500.0,wynagrodzenie,przychód,,2024-02-28
90.0,rachunki,wydatek,Internet,2024-02-29
85.0,zdrowie,wydatek,Leki,2024-03-01
2900.0,wynagrodzenie,przychód,,2024-03-02
140.0,jedzenie,wydatek,Fast food,2024-03-03
95.0,transport,wydatek,Bilet autobusowy,2024-03-04
450.0,sprzedaż,przychód,Freelance,2024-03-05
120.0,rozrywka,wydatek,Spotify,2024-03-06
2300.0,wynagrodzenie,przychód,,2024-03-07
100.0,rachunki,wydatek,Woda,2024-03-08
75.0,edukacja,wydatek,Kurs programowania,2024-03-09
3000.0,wynagrodzenie,przychód,,2024-03-10
150.0,jedzenie,wydatek,Market,2024-03-11
80.0,transport,wydatek,Autobus,2024-03-12
500.0,premie,przychód,,2024-03-13
170.0,rozrywka,wydatek,Galeria,2024-03-14
2600.0,wynagrodzenie,przychód,,2024-03-15
110.0,rachunki,wydatek,Telefon,2024-03-16
90.0,zdrowie,wydatek,Siłownia,2024-03-17
3100.0,wynagrodzenie,przychód,,2024-03-18
160.0,jedzenie,wydatek,Restauracja,2024-03-19
105.0,transport,wydatek,Taxi,2024-03-20
400.0,sprzedaż,przychód,Usługi graficzne,2024-03-21
130.0,rozrywka,wydatek,Teatr,2024-03-22
2400.0,wynagrodzenie,przychód,,2024-03-23
95.0,rachunki,wydatek,Prąd,2024-03-24
80.0,edukacja,wydatek,Kurs online,2024-03-25
2700.0,wynagrodzenie,przychód,,2024-03-26
120.0,jedzenie,wydatek,Kawiarnia,2024-03-27
100.0,transport,wydatek,Tramwaj,2024-03-28
450.0,premie,przychód,,2024-03-29
180.0,rozrywka,wydatek,Kino,2024-03-30
2500.0,wynagrodzenie,przychód,,2024-03-31
100.0,rachunki,wydatek,Internet,2024-04-01
85.0,zdrowie,wydatek,Leki,2024-04-02
2800.0,wynagrodzenie,przychód,,2024-04-03
170.0,jedzenie,wydatek,Fast food,2024-04-04
110.0,transport,wydatek,Bilet autobusowy,2024-04-05
500.0,sprzedaż,przychód,Freelance,2024-04-06
140.0,rozrywka,wydatek,Spotify,2024-04-07
2300.0,wynagrodzenie,przychód,,2024-04-08
120.0,rachunki,wydatek,Woda,2024-04-09
95.0,edukacja,wydatek,Kurs programowania,2024-04-10
2900.0,wynagrodzenie,przychód,,2024-04-11
160.0,jedzenie,wydatek,Market,2024-04-12
120.0,transport,wydatek,Autobus,2024-04-13
600.0,premie,przychód,,2024-04-14
190.0,rozrywka,wydatek,Escape room,2024-04-15
2600.0,wynagrodzenie,przychód,,2024-04-16
130.0,rachunki,wydatek,Telefon,2024-04-17
100.0,zdrowie,wydatek,Siłownia,2024-04-18
3200.0,wynagrodzenie,przychód,,2024-04-19
180.0,jedzenie,wydatek,Restauracja,2024-04-20
130.0,transport,wydatek,Taxi,2024-04-21
400.0,sprzedaż,przychód,Usługi IT,2024-04-22
150.0,rozrywka,wydatek,Teatr,2024-04-23
2500.0,wynagrodzenie,przychód,,2024-04-24
110.0,rachunki,wydatek,Prąd,2024-04-25
105.0,edukacja,wydatek,Kurs online,2024-04-26
3000.0,wynagrodzenie,przychód,,2024-04-27
190.0,jedzenie,wydatek,Kawiarnia,2024-04-28
140.0,transport,wydatek,Tramwaj,2024-04-29
550.0,premie,przychód,,2024-04-30
200.0,rozrywka,wydatek,Kino,2024-05-01
2700.0,wynagrodzenie,przychód,,2024-05-02
125.0,rachunki,wydatek,Internet,2024-05-03
110.0,zdrowie,wydatek,Leki,2024-05-04
3300.0,wynagrodzenie,przychód,,2024-05-05
200.0,jedzenie,wydatek,Fast food,2024-05-06
150.0,transport,wydatek,Bilet autobusowy,2024-05-07
600.0,sprzedaż,przychód,Freelance,2024-05-08
160.0,rozrywka,wydatek,Spotify,2024-05-09
2400.0,wynagrodzenie,przychód,,2024-05-10
140.0,rachunki,wydatek,Woda,2024-05-11
120.0,edukacja,wydatek,Kurs programowania,2024-05-12
3100.0,wynagrodzenie,przychód,,2024-05-13
210.0,jedzenie,wydatek,Market,2024-05-14
160.0,transport,wydatek,Autobus,2024-05-15
650.0,premie,przychód,,2024-05-16
210.0,rozrywka,wydatek,Escape room,2024-05-17
2800.0,wynagrodzenie,przychód,,2024-05-18
155.0,rachunki,wydatek,Telefon,2024-05-19
130.0,zdrowie,wydatek,Siłownia,2024-05-20
3400.0,wynagrodzenie,przychód,,2024-05-21
220.0,jedzenie,wydatek,Restauracja,2024-05-22
170.0,transport,wydatek,Taxi,2024-05-23
450.0,sprzedaż,przychód,Usługi IT,2024-05-24
160.0,rozrywka,wydatek,Teatr,2024-05-25
2600.0,wynagrodzenie,przychód,,2024-05-26
130.0,rachunki,wydatek,Prąd,2024-05-27
125.0,edukacja,wydatek,Kurs online,2024-05-28
3200.0,wynagrodzenie,przychód,,2024-05-29
210.0,jedzenie,wydatek,Kawiarnia,2024-05-30
180.0,transport,wydatek,Tramwaj,2024-05-31
600.0,premie,przychód,,2024-06-01
220.0,rozrywka,wydatek,Kino,2024-06-02
2900.0,wynagrodzenie,przychód,,2024-06-03
140.0,rachunki,wydatek,Internet,2024-06-04
150.0,zdrowie,wydatek,Leki,2024-06-05
3500.0,wynagrodzenie,przychód,,2024-06-06
230.0,jedzenie,wydatek,Fast food,2024-06-07
190.0,transport,wydatek,Bilet autobusowy,2024-06-08
700.0,sprzedaż,przychód,Freelance,2024-06-09
180.0,rozrywka,wydatek,Spotify,2024-06-10
2500.0,wynagrodzenie,przychód,,2024-06-11
160.0,rachunki,wydatek,Woda,2024-06-12
140.0,edukacja,wydatek,Kurs programowania,2024-06-13
3300.0,wynagrodzenie,przychód,,2024-06-14
220.0,jedzenie,wydatek,Market,2024-06-15
200.0,transport,wydatek,Autobus,2024-06-16
750.0,premie,przychód,,2024-06-17
230.0,rozrywka,wydatek,Escape room,2024-06-18
2800.0,wynagrodzenie,przychód,,2024-06-19
165.0,rachunki,wydatek,Telefon,2024-06-20
